code,nom,departements,regions,population
200055887,CC Mayenne Communauté,53,52,36612
200056232,CA Communauté Paris-Saclay,91,11,319695
200056380,CA Plaine Vallée,95,11,186216
200057859,CA Coeur d'Essonne Agglomération,91,11,208019
200057958,CA Paris - Vallée de la Marne,77,11,232536
200058360,CC Entre Beauce et Perche,28,24,21164
200058477,CA Val d'Yerres Val de Seine,91,11,177954
200058485,CA Val Parisis,95,11,288829
200058519,CA Saint Germain Boucles de Seine,"78,95",11,341547
200058782,CA de Saint Quentin en Yvelines,78,11,233591
200059228,CA Grand Paris Sud Seine Essonne Sénart,"77,91",11,361024
200059392,CC Bièvre Isère,38,84,56117
200059400,CC Porte Océane du Limousin,87,75,25686
200059889,CU Grand Paris Seine et Oise,78,11,433255
200060010,CA Mauges Communauté,49,52,122374
200065563,CC Normandie-Cabourg-Pays d'Auge,14,28,31566
200065589,CC Val ès Dunes,14,28,20565
200065597,CU Caen la Mer,14,28,277248
200065647,CA Pays de Montbéliard Agglomération,25,27,139232
200065787,CC de Pont-Audemer / Val de Risle,27,28,32563
200065886,CA Loire Forez Agglomération (LFA),42,84,112261
200065894,CC de Forez-Est,42,84,64654
200065928,CA Lannion-Trégor Communauté,22,53,100877
200066009,CA Mulhouse Alsace Agglomération,68,44,272950
200066017,CC Lieuvin Pays d'Auge,27,28,20316
200066025,CC Alsace Rhin Brisach,68,44,34031
200066033,CC Sud Alsace Largue,68,44,22331
200066041,CC Sundgau,68,44,47603
200066058,CA Saint-Louis Agglomération,68,44,84055
200066108,CC des Portes de Meuse,55,44,16003
200066116,CC Argonne-Meuse,55,44,6879
200066124,CA Gaillac-Graulhet,81,76,76216
200066132,CC du Pays de Stenay et du Val Dunois,55,44,9430
200066140,CC de l'Aire à l'Argonne,55,44,6382
200066157,CC de Commercy - Void - Vaucouleurs,55,44,21952
200066165,CC Val de Meuse - Voie Sacrée,55,44,8882
200066173,CC de Damvillers Spincourt,55,44,8036
200066223,CC Arize Lèze,09,76,11064
200066231,CC des Portes d'Ariège Pyrénées,09,76,40642
200066280,CC du Pithiverais,45,24,29093
200066322,CC Terres des Confluences,82,76,42367
200066330,CC Terres du Haut Berry,18,24,25976
200066348,CC du Minervois au Caroux,34,76,14372
200066355,CA Sète Agglopôle Méditerranée,34,76,129982
200066363,CC de la Haute Ariège,09,76,7149
200066371,CC Causses et Vallée de la Dordogne,46,76,45320
200066389,CA Saint-Lô Agglo,50,28,76674
200066405,CC Roumois Seine,"27,76",28,41773
200066413,CC Intercom Bernay Terres de Normandie,27,28,54314
200066462,CC Interco Normandie Sud Eure,"27,28","24,28",37606
200066512,CC Élan Limousin Avenir Nature,87,75,27459
200066520,CC Ouest Limousin,87,75,11370
200066553,CC du Haut-Languedoc,"34,81",76,7954
200066561,CC Sidobre Vals et Plateaux,81,76,12437
200066587,CC des Monts du Lyonnais,"42,69",84,35237
200066603,CC du Pays de Lubersac-Pompadour,19,75,6785
200066637,CC Hautes Terres,15,84,11118
200066645,CC Vézère-Monédières-Millesources,19,75,5691
200066652,CC Grand Sud Tarn-et-Garonne,82,76,43301
200066660,CC de Saint-Flour,15,84,23264
200066678,CC de la Châtaigneraie Cantalienne,15,84,21099
200066710,CC Cingal-Suisse Normande,14,28,23506
200066728,CC Vallées de l'Orne et de l'Odon,14,28,26436
200066744,CC Haute-Corrèze Communauté,"19,23",75,31994
200066751,CC Xaintrie Val'Dordogne,19,75,11120
200066769,CC Midi Corrézien,19,75,13215
200066777,CC Ploërmel Communauté,56,53,42842
200066785,CC de l'Oust à Brocéliande,56,53,39885
200066793,CA du Grand Annecy,74,84,211259
200066801,CC Isigny-Omaha Intercom,14,28,26420
200066819,CC du Volvestre,31,76,30806
200066827,CC du Pays de Honfleur-Beuzeville,"14,27",28,27103
200066835,CC de Sézanne-Sud Ouest Marnais,51,44,20917
200066850,CC des Paysages de la Champagne,51,44,20721
200066868,CC Presqu'île de Crozon-Aulne maritime,29,53,22603
200066876,CA de Châlons-en-Champagne,51,44,78298
200066884,CC Quercy Vert-Aveyron,82,76,21707
200066892,CC de Vendeuvre-Soulaines,10,44,7359
200066918,CA Alès Agglomération,30,76,135747
200066926,CA Grand Auch Coeur de Gascogne,32,76,39498
200066975,CC Senlis Sud Oise,60,32,25012
200067023,CC Coutances Mer et Bocage,50,28,47755
200067031,CC Côte Ouest Centre Manche,50,28,22194
200067049,CC Spelunca-Liamone,2A,94,7815
200067064,CC Decazeville Communauté,12,76,17928
200067072,CC Haut-Léon Communauté,29,53,31706
200067080,CC Chablis Villages et Terroirs,89,27,14638
200067106,CA du Pays Basque,64,75,325721
200067114,CA de l'Auxerrois,89,27,68012
200067122,CC du Pays de Lafrançaise,82,76,11246
200067130,CC de Puisaye-Forterre,"58,89",27,33562
200067155,"CC Saint Affricain, Roquefort, Sept Vallons",12,76,13444
200067163,"CC Monts, Rance et Rougier",12,76,6323
200067171,"CC Aubrac, Carladez et Viadène",12,76,9928
200067189,CC Creuse Sud Ouest,23,75,13483
200067197,CC Monts d'Arrée Communauté,29,53,7765
200067205,CA du Cotentin,50,28,178684
200067213,CU du Grand Reims,51,44,297492
200067239,CC des Luys en Béarn,64,75,29307
200067247,CC Pleyben-Châteaulin-Porzay,29,53,22863
200067254,CA Pau Béarn Pyrénées,64,75,166794
200067262,CC du Haut Béarn,64,75,32038
200067288,CC du Béarn des Gaves,64,75,17547
200067296,CC du Nord Est Béarn,64,75,34830
200067304,CC Serein et Armance,89,27,23421
200067320,CC Serre-Ponçon Val d'Avance,"04,05",93,7859
200067346,CA Pornic Agglo Pays de Retz,44,52,69252
200067361,CC Grand-Figeac,"12,46",76,43924
200067379,CC Côtes de Champagne et Val de Saulx,51,44,11385
200067429,CC Haut Nivernais - Val d'Yonne,"58,89",27,11845
200067437,CA Provence-Alpes-Agglomération,04,93,48726
200067445,CC Buëch-Dévoluy,05,93,9597
200067452,CC du Guillestrois et du Queyras,05,93,7955
200067460,CC Loudéac Communauté - Bretagne Centre,22,53,51811
200067478,CC Comtal Lot et Truyère,12,76,19930
200067486,CC Bouzonvillois-Trois Frontières,57,44,24154
200067502,CA Saint-Avold Synergie,57,44,51750
200067544,CC Creuse Confluence,23,75,16479
200067551,CA Thonon Agglomération,74,84,94873
200067593,CC Marche et Combraille en Aquitaine,23,75,13041
200067627,CC Billom Communauté,63,84,26098
200067635,CA Clisson Sèvre et Maine Agglo,44,52,57167
200067643,CC Meurthe Mortagne Moselle,54,44,16456
200067650,CC Houve - Pays Boulageois,57,44,22769
200067668,"CC de la Cléry, du Betz et de l'Ouanne","45,89","24,27",20042
200067676,CC Canaux et Forêts en Gâtinais,45,24,27348
200067684,"CA Epernay, Coteaux et Plaine de Champagne",51,44,46800
200067692,CC Tannay-Brinon-Corbigny,58,27,9394
200067700,CC Sud Nivernais,58,27,19771
200067742,CC Serre-Ponçon,"04,05",93,16945
200067759,CC Vallées et Plateau d'Ardenne,08,44,23974
200067767,CC du Royans-Vercors,26,84,9733
200067783,CC de Hanau-La Petite Pierre,67,44,26172
200067791,CA L'Agglo Foix-Varilhes,09,76,32542
200067817,CC Saône-Beaujolais,69,84,45642
200067825,CA Gap-Tallard-Durance,"04,05",93,50743
200067841,CC de l'Alsace Bossue,67,44,23966
200067866,CC Sèvre et Loire,44,52,49940
200067874,CA de Haguenau,67,44,99129
200067882,CC Bazois Loire Morvan,58,27,15029
200067890,CC Morvan Sommets et Grands Lacs,58,27,12039
200067908,CC Amognes Coeur du Nivernais,58,27,8527
200067916,CC Coeur de Loire,58,27,25204
200067924,CC du Canton d'Erstein,67,44,49088
200067932,CA Golfe du Morbihan - Vannes Agglomération,56,53,177719
200067940,CC Couserans-Pyrénées,09,76,30003
200067957,CC Haut Chemin - Pays de Pange,57,44,19286
200067965,CA de la Région de Compiègne et de la Basse Automne,60,32,83708
200067973,CC Thelloise,60,32,61730
200067981,CA Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,22,53,73835
200067999,CA du Beauvaisis,60,32,103404
200068005,CC de l'Oise Picarde,60,32,20939
200068047,CA Creil Sud Oise,60,32,89897
200068070,CC Loue-Lison,25,27,25269
200068088,CC Les Bertranges,"18,58","24,27",19625
200068096,CC Champsaur-Valgaudemar,05,93,11528
200068104,CA de la Provence Verte,83,93,103248
200068112,CC du Pays de Saverne,67,44,35675
200068120,CA Quimper Bretagne Occidentale,29,53,102574
200068146,CC Sarrebourg Moselle Sud,57,44,45143
200068229,CC des Baronnies en Drôme Provençale,26,84,20753
200068278,CC Berry Loire Puisaye,45,24,17525
200068294,CC des Deux Vallées Vertes,25,27,15608
200068369,CC de Mirecourt Dompaire,88,44,18441
200068377,CC de la Porte des Vosges Méridionales,88,44,29017
200068435,CC Coeur du Perche,61,28,11057
200068443,CC Andaine - Passais,61,28,12837
200068450,CC Terres d'Argentan Interco,61,28,33374
200068468,CC des Pays de L'Aigle,61,28,24985
200068484,CC des Causses à l'Aubrac,12,76,14487
200068500,CA de Cambrai,59,32,80469
200068534,CC Terroir de Caux,76,28,37763
200068542,CC Les Balcons du Dauphiné,38,84,78705
200068559,CC de l'Ouest Vosgien,"52,88",44,22986
200068567,CC Les Vals du Dauphiné,38,84,64457
200068625,"CC Alpes-Provence-Verdon ""Sources de lumière""",04,93,11417
200068641,CA Le Muretain Agglo,31,76,129300
200068658,CA de Chaumont,52,44,43665
200068666,CA du Grand Saint-Dizier Der et Vallées,"51,52",44,55597
200068674,CA Grand Lac,73,84,79849
200068682,CC Terre d'Eau,88,44,17043
200068757,CA d'Epinal,88,44,110099
200068765,CC du Sisteronais-Buëch,"04,05,26","84,93",25482
200068773,CC des Vosges côté Sud Ouest,88,44,11564
200068781,CA Valence Romans Agglo,26,84,224841
200068799,CC Intercom de la Vire au Noireau,14,28,46187
200068807,CC du Bassin Auterivain Haut-Garonnais,31,76,34207
200068815,CC Coeur de Garonne,31,76,35091
200068831,CC Pays Ségali Communauté,12,76,18318
200068856,CC des Hauts du Perche,61,28,7882
200068864,CC de la Mossig et du Vignoble,67,44,24826
200068872,CC Éguzon - Argenton - Vallée de la Creuse,36,24,19302
200068880,CC Champagne Boischauts,36,24,9691
200068914,CC La Rochefoucauld Porte du Périgord,16,75,21882
200068922,CC du Confluent et des Coteaux de Prayssas,47,75,17768
200068930,CC Fumel Vallée du Lot,47,75,24601
200068948,CC Albret Communauté,47,75,25866
200068955,CC Anjou Loir et Sarthe,49,52,28260
200068963,CC Maine Coeur de Sarthe,72,52,21871
200068989,CA Dinan Agglomération,22,53,104442
200068997,CA Arlysère,73,84,61836
200069003,CC du Barséquanais en Champagne,10,44,18320
200069029,CA des Deux Baies en Montreuillois,62,32,65084
200069037,CA du Pays de Saint-Omer,62,32,104320
200069052,CA Grand Belfort,90,27,101451
200069060,CC des Vosges du Sud,90,27,15046
200069086,CC Leff Armor Communauté,22,53,32064
200069094,CC Isle et Crempse en Périgord,24,75,14475
200069102,CC Randon - Margeride,48,76,5201
200069110,CA du Grand Chambéry,73,84,141091
200069128,CC Mont Lozère,"30,48",76,5827
200069136,CC des Cévennes au Mont Lozère,48,76,5101
200069144,CC des Hautes Terres de l'Aubrac,48,76,4973
200069151,CC Gorges Causses Cévennes,48,76,6928
200069169,CC Dômes Sancy Artense,63,84,12591
200069177,CC Mond'Arverne Communauté,63,84,41032
200069185,CC des Terres d'Apcher-Margeride-Aubrac,48,76,10484
200069193,CC de la Dombes,01,84,40570
200069227,CC Pays Fort Sancerrois Val de Loire,18,24,18143
200069235,CC du Haut Pays du Montreuillois,62,32,15742
200069250,CA Troyes Champagne Métropole,10,44,175540
200069268,CC Aubrac Lot Causses Tarn,48,76,7884
200069300,CA Tarbes-Lourdes-Pyrénées,65,76,127612
200069383,CC Ouest Aveyron Communauté,"12,46",76,27244
200069391,CA Lamballe Terre et Mer,22,53,69087
200069409,CA Saint-Brieuc Armor Agglomération,22,53,154023
200069417,CC Pays d'Orthe et Arrigans,40,75,24363
200069425,CA Mont-Saint-Michel-Normandie,50,28,87390
200069433,CC de Vezouze en Piémont,54,44,11483
200069441,CC du Pays de Bitche,57,44,33184
200069458,CC des Vallées d'Auge et du Merlerault,61,28,14184
200069482,CC des Campagnes de l'Artois,62,32,33290
200069516,CC Seulles Terre et Mer,14,28,17577
200069524,CC Pré-Bocage Intercom,14,28,24984
200069532,CA Lisieux Normandie,14,28,72683
200069540,CC Norge et Tille,21,27,16671
200069565,CC des Lacs et Montagnes du Haut-Doubs,25,27,16727
200069581,CC Convergence Garonne,33,75,32781
200069599,CC Rurales de l'Entre-Deux-Mers,33,75,16615
200069615,CC Bresse Haute Seille,39,27,19149
200069623,CC Champagnole Nozeroy Jura,39,27,22936
200069631,CC Terres de Chalosse,40,75,18276
200069649,CC Chalosse Tursan,40,75,26170
200069656,CC Coeur Haute Lande,40,75,16305
200069664,CC Meuse Rognon,52,44,10352
200069672,CC du Ternois,"62,80",32,37150
200069698,CC Mâconnais - Tournugeois,71,27,15906
200069722,CC Interrégionale Aumale - Blangy-sur-Bresle,"76,80","28,32",21244
200069730,CC des Quatre Rivières en Bray,"27,76",28,28632
200069748,CC Val de Gâtine,79,75,21570
200069755,CC Mellois en Poitou,79,75,46490
200069763,CC du Haut Poitou,86,75,41934
200069821,CA Fécamp Caux Littoral Agglomération,76,28,38162
200069839,CC de la Côte d'Albâtre,76,28,27520
200069847,CC Plateau de Caux,76,28,21314
200069854,CU du Grand Poitiers,86,75,196849
200069912,CC des Forêts du Perche,28,24,7700
200069953,CC des Portes Euréliennes d'Ile de France,28,24,48698
200069961,CC du Grand Châteaudun,28,24,39734
200069995,CC Médoc Coeur de Presqu'île,33,75,30896
200070035,CC du Civraisien en Poitou,86,75,26737
200070043,CC Vienne et Gartempe,86,75,38694
200070068,CC Bray-Eawy,76,28,24882
200070092,CA du Libournais,33,75,93359
200070100,CC du Val de Sully,45,24,24081
200070118,CC Val de Saône Centre,01,84,21022
200070126,CC Seine et Aube,10,44,10213
200070142,CC Lyons Andelle,27,28,20594
200070159,CC Coeur de Beauce,28,24,24406
200070167,CC Terres de Perche,28,24,14116
200070183,CC des Terres du Val de Loire,"41,45",24,50078
